zone,area,classification,plots
A,2642,Homogenius,5
B,831,Transition,5
C,11743,Homogenius,5
D,1306,Transition,5
E,6739,Homogenius,2
F,652,Homogenius,3
G,858,Homogenius,3
H,4217,Homogenius,5
I,10158,Transition,10
J,238,Homogenius,3
K,4788,Homogenius,3
L,1309,Homogenius,2
M,4695,Homogenius,5
N,1471,Homogenius,3
O,1088,Homogenius,5
P,1167,Transition,3
Q,606,Homogenius,3
R,443,Transition,5
S,1839,Transition,5
T,5002,Transition,7
U,4943,Homogenius,5
V,3551,Homogenius,5
W,8490,Homogenius,6
X,670,Not Homogenious,5
Y,630,Transition,3
Z,1850,Transition,5
